method,mesh_n,phase,relative_energy_kj_mol_per_H2O,dmc_reference_kj_mol_per_H2O,error_kj_mol_per_H2O,absolute_error_kj_mol_per_H2O,qualification
CP2K-native pbc provider,1,II,-85.402832141787,0.310000,-85.712832141787,85.712832141787,PASS
CP2K-native pbc provider,1,III,-52.784771268542,1.250000,-54.034771268542,54.034771268542,PASS
CP2K-native pbc provider,1,IV,38.666296563445,3.830000,34.836296563445,34.836296563445,PASS
CP2K-native pbc provider,1,VI,-119.951875945327,1.780000,-121.731875945327,121.731875945327,PASS
CP2K-native pbc provider,1,VII,-491.873082184693,4.990000,-496.863082184693,496.863082184693,PASS
CP2K-native pbc provider,1,VIII,-227.181419883129,4.230000,-231.411419883129,231.411419883129,PASS
CP2K-native pbc provider,1,IX,-36.269951766466,0.600000,-36.869951766466,36.869951766466,PASS
CP2K-native pbc provider,1,XI,-299.258517764208,0.160000,-299.418517764208,299.418517764208,PASS
CP2K-native pbc provider,1,XIII,16.464730690270,2.120000,14.344730690270,14.344730690270,PASS
CP2K-native pbc provider,1,XIV,-351.956575258314,1.700000,-353.656575258314,353.656575258314,PASS
CP2K-native pbc provider,1,XV,-121.156627657516,1.740000,-122.896627657516,122.896627657516,PASS
CP2K-native pbc provider,1,XVII,-112.486904025341,1.750000,-114.236904025341,114.236904025341,PASS
CP2K-native pbc provider,2,II,-40.052766068529,0.310000,-40.362766068529,40.362766068529,PASS
CP2K-native pbc provider,2,III,-21.669455109452,1.250000,-22.919455109452,22.919455109452,PASS
CP2K-native pbc provider,2,IV,14.926650765275,3.830000,11.096650765275,11.096650765275,PASS
CP2K-native pbc provider,2,VI,-57.367272481186,1.780000,-59.147272481186,59.147272481186,PASS
CP2K-native pbc provider,2,VII,-299.975226317139,4.990000,-304.965226317139,304.965226317139,PASS
CP2K-native pbc provider,2,VIII,-121.493618846350,4.230000,-125.723618846350,125.723618846350,PASS
CP2K-native pbc provider,2,IX,-14.811030410780,0.600000,-15.411030410780,15.411030410780,PASS
CP2K-native pbc provider,2,XI,-165.236805185714,0.160000,-165.396805185714,165.396805185714,PASS
